year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,AA,"American Airlines Inc.",ABQ,"Albuquerque, NM: Albuquerque International Sunport",296,70,28,0,7,0,35,2,0,7128,1566,0,412,0,5150
2023,8,AA,"American Airlines Inc.",ALB,"Albany, NY: Albany International",93,23,10,0,3,1,9,0,0,1476,515,24,110,21,806
2023,8,AA,"American Airlines Inc.",AMA,"Amarillo, TX: Rick Husband Amarillo International",60,26,10,0,1,0,15,2,0,4719,1617,0,38,0,3064
2023,8,AA,"American Airlines Inc.",ANC,"Anchorage, AK: Ted Stevens Anchorage International",93,37,13,1,15,0,9,0,0,1528,508,29,385,0,606
2023,8,AA,"American Airlines Inc.",ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",759,225,67,15,39,0,104,16,5,20112,5665,950,2152,11,11334
2023,8,AA,"American Airlines Inc.",AUS,"Austin, TX: Austin - Bergstrom International",1376,328,92,14,81,1,141,11,1,31197,9964,2181,4350,11,14691
2023,8,AA,"American Airlines Inc.",AVL,"Asheville, NC: Asheville Regional",165,64,19,5,12,0,27,2,0,6689,2412,426,511,0,3340
2023,8,AA,"American Airlines Inc.",AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",77,23,15,3,1,0,5,0,0,2321,1603,232,48,0,438
2023,8,AA,"American Airlines Inc.",BDL,"Hartford, CT: Bradley International",278,90,31,6,7,0,46,2,0,5826,2049,428,293,0,3056
2023,8,AA,"American Airlines Inc.",BFL,"Bakersfield, CA: Meadows Field",75,24,9,0,3,0,12,2,0,2836,758,17,90,0,1971
2023,8,AA,"American Airlines Inc.",BGR,"Bangor, ME: Bangor International",134,24,6,0,3,0,14,1,0,1638,483,20,116,0,1019
2023,8,AA,"American Airlines Inc.",BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",56,27,5,2,4,0,16,0,0,2959,929,258,267,0,1505
2023,8,AA,"American Airlines Inc.",BNA,"Nashville, TN: Nashville International",755,221,80,9,30,1,102,10,1,19927,8122,1069,1303,39,9394
2023,8,AA,"American Airlines Inc.",BOI,"Boise, ID: Boise Air Terminal",117,28,11,1,3,0,12,0,0,2528,577,139,112,0,1700
2023,8,AA,"American Airlines Inc.",BOS,"Boston, MA: Logan International",1478,454,118,29,118,2,187,14,2,38482,11286,2379,5785,194,18838
2023,8,AA,"American Airlines Inc.",BTV,"Burlington, VT: Burlington International",51,12,4,0,1,0,7,0,0,1097,321,12,51,0,713
2023,8,AA,"American Airlines Inc.",BUF,"Buffalo, NY: Buffalo Niagara International",188,59,17,4,8,0,30,1,3,4442,1285,303,402,0,2452
2023,8,AA,"American Airlines Inc.",BUR,"Burbank, CA: Bob Hope",106,23,12,1,3,0,7,2,1,2348,1544,144,108,0,552
2023,8,AA,"American Airlines Inc.",BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",340,105,40,5,10,0,49,7,0,8122,2895,384,419,4,4420
2023,8,AA,"American Airlines Inc.",BZN,"Bozeman, MT: Bozeman Yellowstone International",97,19,7,0,4,0,8,0,0,1276,757,25,93,0,401
2023,8,AA,"American Airlines Inc.",CAE,"Columbia, SC: Columbia Metropolitan",62,10,4,0,1,0,5,0,0,406,160,0,74,0,172
2023,8,AA,"American Airlines Inc.",CHS,"Charleston, SC: Charleston AFB/International",424,101,26,5,12,0,57,11,2,9084,1770,445,540,4,6325
2023,8,AA,"American Airlines Inc.",CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",119,52,16,1,4,0,31,2,0,5715,2008,62,185,0,3460
2023,8,AA,"American Airlines Inc.",CLE,"Cleveland, OH: Cleveland-Hopkins International",505,155,50,7,34,2,62,4,5,12930,5397,522,1384,64,5563
2023,8,AA,"American Airlines Inc.",CLT,"Charlotte, NC: Charlotte Douglas International",10497,2500,636,144,504,9,1207,230,43,294629,110971,14250,29468,678,139262
2023,8,AA,"American Airlines Inc.",CMH,"Columbus, OH: John Glenn Columbus International",382,104,33,1,9,0,60,6,0,7941,2194,79,467,14,5187
2023,8,AA,"American Airlines Inc.",COS,"Colorado Springs, CO: City of Colorado Springs Municipal",95,19,8,0,3,0,9,1,0,1034,471,2,97,0,464
2023,8,AA,"American Airlines Inc.",CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",285,93,27,5,12,0,49,2,0,10725,1996,632,702,0,7395
2023,8,AA,"American Airlines Inc.",DAB,"Daytona Beach, FL: Daytona Beach International",46,11,4,1,3,0,3,0,0,898,471,39,81,0,307
2023,8,AA,"American Airlines Inc.",DCA,"Washington, DC: Ronald Reagan Washington National",2526,607,172,26,146,2,261,58,21,60619,22785,2001,6618,80,29135
2023,8,AA,"American Airlines Inc.",DEN,"Denver, CO: Denver International",739,237,77,6,61,0,92,9,1,21177,6971,776,2876,29,10525
